"TransID","Stand","Species","du","dl","length","decay_class"
16,"hemlock-hardwoods","Red maple",0.359166666666667,0.2625,19.5,3
16,"hemlock-hardwoods","Oak spp.",0.475,0.174166666666667,46,3
17,"hemlock-hardwoods","Black birch",0.25,0.208333333333333,12,1
17,"hemlock-hardwoods","Unknown",0.658333333333333,0.423333333333333,26,2
17,"hemlock-hardwoods","Unknown",0.375,0.276666666666667,19,1
17,"hemlock-hardwoods","Unknown",0.916666666666667,0.550833333333333,29,1
18,"hemlock-hardwoods","Eastern hemlock",0.5,0.413333333333333,12.6,2
18,"hemlock-hardwoods","Eastern hemlock",0.708333333333333,0.328333333333333,39,1
18,"hemlock-hardwoods","Eastern hemlock",0.541666666666667,0.3,32.5,1
19,"hemlock-hardwoods","Black birch",0.583333333333333,0.495,11,2
19,"hemlock-hardwoods","Black birch",0.375,0.189166666666667,36,1
19,"hemlock-hardwoods","Unknown",0.416666666666667,0.3025,20,3
19,"hemlock-hardwoods","Unknown",0.416666666666667,0.365,9,3
19,"hemlock-hardwoods","Unknown",0.333333333333333,0.274166666666667,13,4
20,"hemlock-hardwoods","Eastern hemlock",0.166666666666667,0.148333333333333,8,2
20,"hemlock-hardwoods","Eastern white pine",0.416666666666667,0.261666666666667,27,2
20,"hemlock-hardwoods","Eastern hemlock",0.666666666666667,0.391666666666667,30,2
21,"hemlock-hardwoods","Northern red oak",1,0.45,40,2
21,"hemlock-hardwoods","Unknown",1.08333333333333,0.1,66,2
21,"hemlock-hardwoods","Red maple",0.416666666666667,0.394166666666667,4,3
21,"hemlock-hardwoods","Northern red oak",0.333333333333333,0.2375,21,2
21,"hemlock-hardwoods","Oak spp.",0.333333333333333,0.26,16,3
21,"hemlock-hardwoods","Maple spp.",0.25,0.208333333333333,12,2
21,"hemlock-hardwoods","Unknown",0.333333333333333,0.31,5,3
21,"hemlock-hardwoods","Oak spp.",0.416666666666667,0.399166666666667,3,2
21,"hemlock-hardwoods","Unknown",0.416666666666667,0.388333333333333,5,1
21,"hemlock-hardwoods","Oak spp.",0.25,0.208333333333333,12,2
21,"hemlock-hardwoods","Hickory spp.",0.416666666666667,0.233333333333333,32,2
21,"hemlock-hardwoods","Maple spp.",0.25,0.198333333333333,15,2
22,"hemlock-hardwoods","Northern red oak",0.416666666666667,0.239166666666667,31,2
22,"hemlock-hardwoods","Northern red oak",0.416666666666667,0.399166666666667,3,3
22,"hemlock-hardwoods","Northern red oak",0.416666666666667,0.296666666666667,21,2
22,"hemlock-hardwoods","Northern red oak",0.333333333333333,0.264166666666667,15,3
22,"hemlock-hardwoods","Northern red oak",0.333333333333333,0.305833333333333,6,2
23,"hemlock-hardwoods","Unknown",0.375,0.349166666666667,5,4
23,"hemlock-hardwoods","Black birch",0.358333333333333,0.274166666666667,17,3
23,"hemlock-hardwoods","Eastern white pine",0.416666666666667,0.348333333333333,12,3
23,"hemlock-hardwoods","Unknown",0.333333333333333,0.296666666666667,8,4
23,"hemlock-hardwoods","Black birch",0.45,0.346666666666667,16.7,1
23,"hemlock-hardwoods","Unknown",0.466666666666667,0.293333333333333,27,1
23,"hemlock-hardwoods","Unknown",0.258333333333333,0.2425,4.5,1
24,"hemlock-hardwoods","Eastern white pine",0.875,0.43,37,4
24,"hemlock-hardwoods","Eastern white pine",0.25,0.181666666666667,20,4
24,"hemlock-hardwoods","Eastern white pine",0.375,0.251666666666667,24,5
24,"hemlock-hardwoods","Eastern white pine",0.666666666666667,0.620833333333333,5,5
24,"hemlock-hardwoods","Eastern white pine",1.02083333333333,0.5575,33,4
24,"hemlock-hardwoods","Eastern white pine",0.791666666666667,0.443333333333333,32,2
